step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,n_copepod,seed
572,0,0,5000,0,0,100,41,300,249
573,0,0,5000,0,0,100,41,300,249
574,0,0,5000,0,0,100,41,300,249
575,0,0,5000,0,0,100,41,300,249
576,0,0,5000,0,0,100,41,300,249
577,0,0,5000,0,0,100,41,300,249
578,0,0,5000,0,0,100,41,300,249
579,0,0,5000,0,0,100,41,300,249
580,0,0,5000,0,0,100,41,300,249
581,0,0,5000,0,0,100,41,300,249
582,0,0,5000,0,0,100,41,300,249
583,0,0,5000,0,0,100,41,300,249
584,0,0,5000,0,0,100,41,300,249
585,0,0,5000,0,0,100,41,300,249
586,0,0,5000,0,0,100,41,300,249
587,0,0,5000,0,0,100,41,300,249
588,0,0,5000,0,0,100,41,300,249
589,0,0,5000,0,0,100,41,300,249
590,0,0,5000,0,0,100,41,300,249
591,0,0,5000,0,0,100,41,300,249
592,0,0,5000,0,0,100,41,300,249
593,0,0,5000,0,0,100,41,300,249
594,0,0,5000,0,0,100,41,300,249
595,0,0,5000,0,0,100,41,300,249
596,0,0,5000,0,0,100,41,300,249
597,0,0,5000,0,0,100,41,300,249
598,0,0,5000,0,0,100,41,300,249
599,0,0,5000,0,0,100,41,300,249
600,0,0,5000,0,0,100,41,300,249
601,0,0,5000,0,0,100,41,300,249
602,0,0,5000,0,0,100,41,300,249
603,0,0,5000,0,0,100,41,300,249
604,0,0,5000,0,0,100,41,300,249
605,0,0,5000,0,0,100,41,300,249
606,0,0,5000,0,0,100,41,300,249
607,0,0,5000,0,0,100,41,300,249
608,0,0,5000,0,0,100,41,300,249
609,0,0,5000,0,0,100,41,300,249
610,0,0,5000,0,0,100,41,300,249
611,0,0,5000,0,0,100,41,300,249
612,0,0,5000,0,0,100,41,300,249
613,0,0,5000,0,0,100,41,300,249
614,0,0,5000,0,0,100,41,300,249
615,0,0,5000,0,0,100,41,300,249
616,0,0,5000,0,0,100,41,300,249
617,0,0,5000,0,0,100,41,300,249
618,0,0,5000,0,0,100,41,300,249
619,0,0,5000,0,0,100,41,300,249
620,0,0,5000,0,0,100,41,300,249
621,0,0,5000,0,0,100,41,300,249
622,0,0,5000,0,0,100,41,300,249
623,0,0,5000,0,0,100,41,300,249
624,0,0,5000,0,0,100,41,300,249
625,0,0,5000,0,0,100,41,300,249
626,0,0,5000,0,0,100,41,300,249
627,0,0,5000,0,0,100,41,300,249
628,0,0,5000,0,0,100,41,300,249
629,0,0,5000,0,0,100,41,300,249
630,0,0,5000,0,0,100,41,300,249
631,0,0,5000,0,0,100,41,300,249
632,0,0,5000,0,0,100,41,300,249
633,0,0,5000,0,0,100,41,300,249
634,0,0,5000,0,0,100,41,300,249
635,0,0,5000,0,0,100,41,300,249
636,0,0,5000,0,0,100,41,300,249
637,0,0,5000,0,0,100,41,300,249
638,0,0,5000,0,0,100,41,300,249
639,0,0,5000,0,0,100,41,300,249
640,0,0,5000,0,0,100,41,300,249
641,0,0,5000,0,0,100,41,300,249
642,0,0,5000,0,0,100,41,300,249
643,0,0,5000,0,0,100,41,300,249
644,0,0,5000,0,0,100,41,300,249
645,0,0,5000,0,0,100,41,300,249
646,0,0,5000,0,0,100,41,300,249
647,0,0,5000,0,0,100,41,300,249
648,0,0,5000,0,0,100,41,300,249
